subtotal,order_date_dt,order_total_revenue,zip_code,unique_customer_id
150,2023-12-11,100,,128
150,2023-12-11,100,,128
75,2023-12-11,50,44116,94
75,2023-12-11,50,44116,94
75,2023-12-11,50,44116,94
40,2023-12-11,28,44116,94
40,2023-12-11,28,44116,94
40,2023-12-11,28,44116,94
40,2023-12-10,28,95060,34
40,2023-12-09,22.4,,232
75,2023-12-09,50,,233
80,2023-12-07,28,,234
150,2023-12-07,50,,120
150,2023-12-07,50,,120
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
150,2023-12-07,50,80537,105
80,2023-12-06,28,,235
160,2023-12-06,56,63362,236
150,2023-12-06,50,,73
150,2023-12-06,50,93555,74
150,2023-12-06,50,93555,74
230,2023-12-05,78,80621,214
80,2023-12-05,28,,237
80,2023-12-04,28,83687,87
80,2023-12-04,28,83687,87
80,2023-12-04,28,83687,87
80,2023-12-04,28,83687,87
32,2023-12-03,25,97358,55
75,2023-12-03,50,,222
75,2023-12-03,50,,222
75,2023-12-03,50,70453,223
40,2023-12-02,28,,238
120,2023-12-02,84,98198,239
64,2023-12-02,25,89122,4
40,2023-12-01,28,,210
40,2023-12-01,28,,211
40,2023-11-29,28,95060,34
155,2023-11-28,130,81657,5
150,2023-11-26,50,19403,240
150,2023-11-26,50,,241
210,2023-11-26,50,,242
660,2023-11-25,185,,164
660,2023-11-25,185,,164
120,2023-11-25,28,19403,240
120,2023-11-25,28,19403,240
300,2023-11-24,100,,243
300,2023-11-24,100,,243
120,2023-11-24,28,90706,244
75,2023-11-24,25,,245
75,2023-11-24,25,,246
75,2023-11-23,25,,247
150,2023-11-23,50,,248
150,2023-11-23,50,,248
150,2023-11-23,50,,248
150,2023-11-23,50,53144,249
150,2023-11-23,50,80233,213
75,2023-11-23,25,91006,100
150,2023-11-23,50,,250
600,2023-11-22,200,80010,251
195,2023-11-21,53,,252
195,2023-11-21,53,,252
150,2023-11-21,50,37307,253
120,2023-11-20,28,97760,254
150,2023-11-20,40,2816,102
150,2023-11-20,50,,255
150,2023-11-20,50,,255
120,2023-11-20,28,,255
120,2023-11-20,28,,255
320,2023-11-19,134.4,46970,256
300,2023-11-19,100,92253,158
300,2023-11-19,100,92253,158
270,2023-11-18,108.4,90241,257
270,2023-11-18,108.4,90241,257
80,2023-11-18,80,80125,258
120,2023-11-18,28,97711,174
795,2023-11-18,314.62,80010,251
120,2023-11-17,28,87106,259
120,2023-11-17,28,87106,259
120,2023-11-17,28,87106,259
40,2023-11-14,28,,137
40,2023-11-14,28,,137
40,2023-11-14,28,,137
40,2023-11-14,28,,137
270,2023-11-11,166.4,80010,251
40,2023-11-11,7,20815,260
75,2023-11-11,12.5,20815,260
75,2023-11-11,12.5,81623,261
75,2023-11-11,12.5,81623,261
150,2023-11-11,100,,73
150,2023-11-11,100,93555,74
150,2023-11-11,100,93555,74
80,2023-11-11,44.8,80513,262
75,2023-11-10,40,90241,263
75,2023-11-10,40,90241,263
75,2023-11-09,40,,252
75,2023-11-09,40,,252
75,2023-11-08,50,,264
160,2023-11-08,76.8,,265
75,2023-11-07,50,21045,266
225,2023-11-06,120,92253,158
225,2023-11-06,120,92253,158
75,2023-11-06,50,,267
75,2023-11-05,50,,268
75,2023-11-05,50,,269
40,2023-11-05,28,,270
40,2023-11-04,28,94501,271
32,2023-11-04,25,97358,55
40,2023-11-03,28,33458,191
32,2023-11-02,25,89122,4
150,2023-11-01,80,,272
150,2023-11-01,80,,272
150,2023-11-01,80,,272
130,2023-10-26,130,,273
130,2023-10-26,130,,273
130,2023-10-26,130,,273
130,2023-10-26,130,,273
130,2023-10-26,130,,273
75,2023-10-24,50,7071,274
160,2023-10-24,56,7922,275
160,2023-10-24,56,7922,275
150,2023-10-23,100,84653,71
80,2023-10-22,28,80004,276
80,2023-10-21,28,,277
80,2023-10-21,28,,277
80,2023-10-21,28,,277
240,2023-10-21,67.2,20815,260
80,2023-10-20,28,83687,87
80,2023-10-20,28,83687,87
80,2023-10-20,28,83687,87
80,2023-10-20,28,83687,87
150,2023-10-18,50,37042,113
150,2023-10-18,50,90606,278
155,2023-10-16,98,,279
150,2023-10-16,50,,216
150,2023-10-16,50,,216
150,2023-10-16,50,,216
150,2023-10-16,50,,216
150,2023-10-15,50,20772,280
150,2023-10-15,50,20772,281
150,2023-10-14,50,81623,261
150,2023-10-14,50,81623,261
150,2023-10-14,50,81623,261
150,2023-10-14,50,81623,261
150,2023-10-14,50,80210,58
150,2023-10-14,50,80233,213
150,2023-10-14,50,,222
150,2023-10-14,50,,222
150,2023-10-14,50,70453,223
150,2023-10-14,50,20772,280
150,2023-10-14,50,20772,281
150,2023-10-14,50,81623,261
150,2023-10-14,50,81623,261
40,2023-10-13,28,,154
40,2023-10-13,28,,154
40,2023-10-13,28,,154
40,2023-10-13,28,,154
75,2023-10-12,39.96,,222
75,2023-10-12,39.96,,222
75,2023-10-12,39.96,70453,223
80,2023-10-11,80,,282
75,2023-10-09,39.96,,154
75,2023-10-09,39.96,,154
75,2023-10-09,39.96,,154
75,2023-10-09,39.96,,154
160,2023-10-06,110,40223,283
80,2023-10-06,55,80120,193
80,2023-10-04,55,37042,113
32,2023-10-04,25,97358,55
32,2023-10-02,25,89122,4
80,2023-10-02,56,91977,284
96,2023-10-01,75,20815,260
150,2023-09-28,79.92,,285
150,2023-09-28,79.92,,285
75,2023-09-25,39.96,,286
115,2023-09-22,77.95,78254,287
32,2023-09-12,32,93277,288
80,2023-09-11,60,80015,19
75,2023-09-10,49.95,,216
75,2023-09-10,49.95,,216
75,2023-09-10,49.95,,216
75,2023-09-10,49.95,,216
32,2023-09-08,20,83687,87
32,2023-09-08,20,83687,87
32,2023-09-08,20,83687,87
32,2023-09-08,20,83687,87
320,2023-09-05,200,90606,278
32,2023-09-04,20,97358,55
160,2023-09-03,80,63362,236
80,2023-09-03,50,10040,289
80,2023-09-03,50,10040,289
80,2023-09-03,50,10040,289
80,2023-09-03,50,10040,289
80,2023-09-01,50,44255,290
96,2023-09-01,60,20815,260
150,2023-08-30,99.9,84653,71
470,2023-08-30,319.9,80644,291
240,2023-08-28,128,21230,292
80,2023-08-28,50,,293
80,2023-08-28,50,,294
80,2023-08-28,50,,294
80,2023-08-25,56,80513,262
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
75,2023-08-25,39.96,80537,105
80,2023-08-24,60,80923,295
40,2023-08-24,28,14504,296
80,2023-08-24,50,13753,70
80,2023-08-24,50,13753,70
80,2023-08-24,50,80503,297
120,2023-08-23,48,17603,189
150,2023-08-23,99.9,,298
150,2023-08-23,79.92,,299
40,2023-08-22,22.4,,300
40,2023-08-21,28,,301
75,2023-08-20,39.96,,302
75,2023-08-18,49.95,80027,303
75,2023-08-18,49.95,84653,304
75,2023-08-15,39.96,91006,100
210,2023-08-14,157.5,60605,26
150,2023-08-13,99.9,92679,305
32,2023-08-12,32,93277,288
190,2023-08-08,127.9,76021,306
190,2023-08-08,127.9,76021,307
150,2023-08-08,79.92,85248,308
300,2023-08-05,159.84,81623,261
300,2023-08-05,159.84,81623,261
75,2023-08-05,49.95,,216
75,2023-08-05,49.95,,216
75,2023-08-05,49.95,,216
75,2023-08-05,49.95,,216
40,2023-08-04,28,,309
40,2023-08-02,22.4,12423,310
96,2023-08-01,60,20815,260
40,2023-07-31,28,,177
40,2023-07-31,28,,177
40,2023-07-30,22.4,33418,311
40,2023-07-27,28,28405,312
80,2023-07-26,38.4,90606,313
40,2023-07-25,28,98908,314
150,2023-07-25,79.92,,315
160,2023-07-24,104,,316
120,2023-07-23,76,33993,317
115,2023-07-22,77.95,80215,123
75,2023-07-22,49.95,,318
75,2023-07-20,49.95,,14
40,2023-07-17,28,18302,319
210,2023-07-17,160.2,,273
210,2023-07-17,160.2,,273
210,2023-07-17,160.2,,273
210,2023-07-17,160.2,,273
210,2023-07-17,160.2,,273
190,2023-07-14,127.9,,320
32,2023-07-12,32,93277,288
80,2023-07-10,56,63362,236
80,2023-07-10,56,20815,260
75,2023-07-08,49.95,84653,71
40,2023-07-04,24,7922,275
40,2023-07-04,24,7922,275
75,2023-07-04,49.95,89144,321
75,2023-07-03,49.95,81623,261
75,2023-07-03,49.95,81623,261
150,2023-06-30,99.9,80210,58
40,2023-06-30,24,,322
80,2023-06-28,44,17603,189
75,2023-06-27,49.95,80027,303
150,2023-06-27,99.9,,323
80,2023-06-25,48,43614,324
450,2023-06-24,299.7,80210,325
40,2023-06-23,24,,294
40,2023-06-23,24,,294
160,2023-06-23,96,6877,326
150,2023-06-21,99.9,6379,171
150,2023-06-21,99.9,,327
75,2023-06-18,49.95,,328
80,2023-06-18,48,,329
150,2023-06-18,99.9,,330
450,2023-06-17,299.7,,331
40,2023-06-17,24,,332
40,2023-06-16,24,,333
75,2023-06-15,49.95,,334
40,2023-06-14,24,89122,4
32,2023-06-12,32,93277,288
40,2023-06-12,24,34953,335
80,2023-06-11,48,,336
80,2023-06-11,48,80026,192
80,2023-06-11,48,80026,192
115,2023-06-11,73.95,63362,236
65,2023-06-09,39,,337
40,2023-06-08,24,81089,338
260,2023-06-08,99,83687,87
260,2023-06-08,99,83687,87
260,2023-06-08,99,83687,87
260,2023-06-08,99,83687,87
80,2023-06-07,48,,339
80,2023-06-07,48,,339
75,2023-06-07,49.95,,285
75,2023-06-07,49.95,,285
320,2023-06-07,176,18302,340
320,2023-06-07,176,18302,340
260,2023-06-06,99,37216,341
130,2023-06-06,78,60605,26
80,2023-06-06,48,87106,259
80,2023-06-06,48,87106,259
